datdep,ptcar_lg_nm_nl,delay_arr,delay_dep,circ_typ,train_serv,mois
28MAR2025,LA LOUVIERE-CENTRE,-0.07,0.33,1,SNCB/NMBS,2025-03
03MAR2025,ANTWERPEN-DAM,0.53,0.53,1,SNCB/NMBS,2025-03
18MAR2025,BRUSSEL-NOORD,2.33,0.62,1,SNCB/NMBS,2025-03
19MAR2025,CHAPOIS,0.03,0.15,1,SNCB/NMBS,2025-03
03MAR2025,ZOTTEGEM,7.82,7.53,1,SNCB/NMBS,2025-03
12MAR2025,BRAINE-LE-COMTE,-0.05,0.4,1,SNCB/NMBS,2025-03
19MAR2025,GROOT-BIJGAARDEN,0.93,1.38,1,SNCB/NMBS,2025-03
20MAR2025,BRUSSEL-ZUID,-0.17,0.37,1,SNCB/NMBS,2025-03
17MAR2025,BLANMONT,0.28,0.28,1,SNCB/NMBS,2025-03
08MAR2025,HALLE,1.53,1.98,1,SNCB/NMBS,2025-03
16MAR2025,COURT-SAINT-ETIENNE,0.0,0.1,1,SNCB/NMBS,2025-03
28MAR2025,WATERMAAL,6.72,6.72,1,SNCB/NMBS,2025-03
21MAR2025,ANTWERPEN-LUCHTBAL,2.8,3.03,1,SNCB/NMBS,2025-03
21MAR2025,JEMAPPES,12.25,12.25,1,SNCB/NMBS,2025-03
06MAR2025,TILLY,0.88,1.42,1,SNCB/NMBS,2025-03
13MAR2025,LILLOIS,0.73,0.12,1,SNCB/NMBS,2025-03
25MAR2025,MORTSEL-LIERSESTEENWEG,2.58,2.58,1,SNCB/NMBS,2025-03
10MAR2025,BRUSSEL-CENTRAAL,1.43,1.43,1,SNCB/NMBS,2025-03
22MAR2025,TILLEUR,0.45,0.45,1,SNCB/NMBS,2025-03
25MAR2025,BRUSSEL-CENTRAAL,0.8,0.8,1,SNCB/NMBS,2025-03
18MAR2025,MOUSTIER-GARAGE,3.98,3.98,1,SNCB/NMBS,2025-03
25MAR2025,MORTSEL,0.83,0.83,1,THI-FACT,2025-03
19MAR2025,KORTRIJK,-0.17,,1,SNCB/NMBS,2025-03
04MAR2025,NEERWINDEN,-1.67,-1.67,1,SNCB/NMBS,2025-03
